pt_index,mean_p_residual_lossless,mean_p_residual_full_y
99869,2.6154798535920762,2.575500675820611
100706,1.7789961879180791,1.77865440476107
100849,1.6412784890245797,1.567605331489459
100914,1.7439771853708093,1.6778130206817623
100946,1.771629998322298,1.7568840066633415
101654,2.0439586985905227,2.0391879242971456
102230,2.3142045796098656,2.241905457182953
102468,1.765735946080828,1.7623682929987976
103519,2.38604293956572,2.3171513185041968
103801,1.6124569374466144,1.6085757689550315
104399,1.7060435414931057,1.7024660022920548
104425,1.6993091428872533,1.695415269784405
104438,1.6495906081253715,1.6433121114871467
104537,2.0094942443647734,1.9471200441837717
104597,2.0213261428975207,1.9704206998873717
105092,1.5847226306610314,1.5741945538464952
105249,1.86333308518584,1.8233191029585942
105508,1.5174023976353366,1.5091612713748095
106293,1.5907004696493394,1.5774903493795092
106310,1.7387727381577385,1.7341580079689662
106448,2.1147933638365393,2.057393560946811
106456,1.9361313028455318,1.928538184269432
106858,1.5383215458489017,1.528478586412691
107092,2.00179456137835,1.9330030956360325
107166,1.9577331717151443,1.9539797948166435
107681,2.19889238246635,2.1208477390915648
107718,2.2039554600621796,2.1987739329270353
108368,2.5523972656956784,2.456883147344228
108576,1.702589777156136,1.7020943942909799
108848,2.2316049428613196,2.205351579736116
108890,2.284455830312693,2.219056446942926
109425,1.9170033682421954,1.908947656841302
109540,2.342546648424799,2.2698857349931276
109575,2.157995062239594,2.1546286660998786
109850,1.3994685336435595,1.3961581788793966
110138,2.1471216534930804,2.074185602001133
110152,2.1151151997530864,2.0847370806450836
110172,2.2095758216025083,2.143195422499827
110383,1.566227103336977,1.5642565011778675
110428,1.4440907690334073,1.4316841368683537
110459,1.4244663141404752,1.3393078711766084
110611,2.0115699752933165,2.0091045084023205
110752,2.3860723351697914,2.3839843873353663
111153,1.6980144523211056,1.6239499862799776
111242,1.9311252685295146,1.914897707215014
111405,2.130169743113891,2.060557849605784
111530,1.80307255887488,1.7322326946590139
111646,1.4194883762753427,1.4082031719107284
111661,1.434189738297169,1.4229045339325543
